id_seccion_p, pregunta, tipo
^(\d+), '(.*)', '(.*)'$
01, 'La gasolina se extrae de:', 'selección unica'
01, 'Una tonelada tiene:', 'selección unica'
01, 'La mayoría de nuestras exportaciones salen por:', 'selección unica'
01, 'El nervio óptico sirve para:', 'selección unica'
01, 'El café es una especie de:', 'selección unica'
01, 'El jamón es carne de:', 'selección unica'
01, 'La laringe está en:', 'selección unica'
01, 'La guillotina causa:', 'selección unica'
01, 'La grúa se usa para:', 'selección unica'
01, 'Una figura de seis lados se llama:', 'selección unica'
01, 'El kilowatt mide:', 'selección unica'
01, 'La pausa se usa en:', 'selección unica'
01, 'Las esmeraldas son:', 'selección unica'
01, 'El metro es aproximadamente igual a:', 'selección unica'
01, 'Las esponjas se obtienen de:', 'selección unica'
01, 'Fraude es un término usado en:', 'selección unica'
02, 'Si la Tierra estuviera más cerca del Sol:', 'selección unica'
02, 'Los rayos de una rueda están frecuentemente hechos de nogal porque:', 'selección unica'
02, 'Un tren se detiene con más dificultad que un automóvil porque:', 'selección unica'
02, 'El dicho * A golpecitos se derriba un roble * quiere decir:', 'selección unica'
02, 'El dicho * Una olla vigilada nunca hierve * quiere decir:', 'selección unica'
02, 'El dicho * Siembra pasto mientras haya sol * quiere decir:', 'selección unica'
02, 'El dicho * Zapatero a tus zapatos * quiere decir:', 'selección unica'
02, 'El dicho * La cuña para que apriete tiene que ser del mismo palo * quiere decir:', 'selección unica'
02, 'Un acorazado de acero flota porque:', 'selección unica'
02, 'Las plumas de las alas ayudan al pájaro a volar porque:', 'selección unica'
02, 'El dicho * Una golondrina no hace verano * quiere decir.', 'selección unica'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
03, 'Seleccione si las siguientes palabras son opuestas o son similares', 'iguales opuestos'
04, 'Un CIRCULO tiene siempre:', 'selección doble'
04, 'Un PÁJARO tiene siempre:', 'selección doble'
04, 'La MÚSICA tiene siempre:', 'selección doble'
04, 'Un BANQUETE tiene siempre.', 'selección doble'
04, 'Un CABALLO tiene siempre:', 'selección doble'
04, 'Un JUEGO tiene siempre:', 'selección doble'
04, 'Un OBJETO tiene siempre:', 'selección doble'
04, 'Una CONVERSACIÓN tiene siempre:', 'selección doble'
04, 'Una DEUDA implica siempre:', 'selección doble'
04, 'Un CIUDADANO tiene siempre:', 'selección doble'
04, 'Un MUSEO tiene siempre:', 'selección doble'
04, 'Un COMPROMISO implica siempre:', 'selección doble'
04, 'Un BOSQUE tiene siempre:', 'selección doble'
04, 'Los OBSTÁCULOS tienen siempre:', 'selección doble'
04, 'El ABORRECIMIENTO tiene siempre:', 'selección doble'
04, 'Una REVISTA tiene siempre:', 'selección doble'
04, 'La CONTROVERSIA implica siempre:', 'selección doble'
04, 'Un BARCO tiene siempre:', 'selección doble'
05, 'A 2 por 5 pesos, Cuántos lápices pueden comprarse con 50 pesos?', 'respuesta numerica'
05, 'Cuántas horas tardaría un automóvil en recorrer 660 kilómetros a la velocidad de 60 kilómetros por hora?', 'respuesta numerica'
05, 'Si un hombre gana $200.00 diarios y gasta $140.00. Cuántos días tardará en ahorrar $3,000.00?', 'respuesta numerica'
05, 'Si dos pasteles cuestan $600.00, Cuántos pesos cuesta la sexta parte de un pastel?', 'respuesta numerica'
05, 'Cuántas veces más es 2x3x4x6, que 3x4?', 'respuesta numerica'
05, 'Cuánto es el 15% de $120.00?', 'respuesta numerica'
05, 'El cuatro por ciento de $1,000.00 es igual al ocho por ciento, de qué cantidad?', 'respuesta numerica'
05, 'La capacidad de un refrigerador rectangular es de 48 metros cúbicos. Si tiene seis metros de largo por cuatro de ancho. Cuál es su altura?', 'respuesta numerica'
05, 'Si 7 hombres hacen un pozo de 40 metros en 2 días, Cuántos hombres se necesitan para hacerlo en medio día?', 'respuesta numerica'
05, 'A tiene $180.00, B tiene 2/3 de lo que tiene A, y C ½ de lo que tiene B, Cuánto tienen todos juntos?', 'respuesta numerica'
05, 'Si un hombre corre 100 metros en 10 segundos, Cuántos metros correrá como promedio 1/5 de segundo?', 'respuesta numerica'
05, 'Un hombre gasta ¼ de su sueldo en casa y alimentos y 4/8 en otros gastos, Qué tanto por ciento de su sueldo ahorra?', 'respuesta numerica'
06, 'La higiene es esencial para la salud.', 'opcion doble'
06, 'Los taquígrafos usan el microscopio', 'opcion doble'
06, 'Los tíranos son justos con sus inferiores', 'opcion doble'
06, 'Las personas desamparadas están sujetas con frecuencia a la caridad', 'opcion doble'
06, 'Las personas venerables son por lo común respetadas.', 'opcion doble'
06, 'Es el escorbuto un medicamento', 'opcion doble'
06, 'Es la amonestación una clase de instrumento musical', 'opcion doble'
06, 'Son los colores opacos preferidos para las banderas nacionales', 'opcion doble'
06, 'Las cosas misteriosas son a veces pavorosas', 'opcion doble'
06, 'Personas conscientes cometen alguna vez errores', 'opcion doble'
06, 'Son carnívoros los carneros.', 'opcion doble'
06, 'Se dan asignaturas a los caballos', 'opcion doble'
06, 'Las cartas anónimas llevan alguna vez firma de quien las escribe', 'opcion doble'
06, 'Son discontinuos los sonidos intermitentes', 'opcion doble'
06, 'Las enfermedades estimulan el buen juicio', 'opcion doble'
06, 'Son siempre perversos los hechos premeditados', 'opcion doble'
