^(\d+), '(.*)'$
id_pregunta_r, respuesta
1010100, 'Granos'
1010100, 'Petróleo'
1010100, 'Trementina'
1010100, 'Semilla'
1010200, '1000 Kgs.'
1010200, '2000 Kgs.'
1010200, '3000 Kgs.'
1010200, '4000 Kgs.'
1010300, 'Mazatlán'
1010300, 'Veracruz'
1010300, 'Progreso'
1010300, 'Acapulco'
1010400, 'Ver'
1010400, 'Oír'
1010400, 'Probar'
1010400, 'Sentir'
1010500, 'Corteza'
1010500, 'Fruto'
1010500, 'Hojas'
1010500, 'Raíz'
1010600, 'Carnero'
1010600, 'Vaca'
1010600, 'Gallina'
1010600, 'Cerdo'
1010700, 'Abdomen'
1010700, 'Cabeza'
1010700, 'Garganta'
1010700, 'Espalda'
1010800, 'Muerte'
1010800, 'Enfermedad'
1010800, 'Fiebre'
1010800, 'Malestar'
1010900, 'Perforar'
1010900, 'Cortar'
1010900, 'Levantar'
1010900, 'Exprimir'
1011000, 'Pentágono'
1011000, 'Paralelogramo'
1011000, 'Hexágono'
1011000, 'Trapecio'
1011100, 'Lluvia'
1011100, 'Viento'
1011100, 'Electricidad'
1011100, 'Presión'
1011200, 'Agricultura'
1011200, 'Música'
1011200, 'Fotografía'
1011200, 'Estenografía'
1011300, 'Azules'
1011300, 'Verdes'
1011300, 'Rojas'
1011300, 'Amarillas'
1011400, 'Pie'
1011400, 'Pulgada'
1011400, 'Yarda'
1011400, 'Milla'
1011500, 'Animales'
1011500, 'Hierbas'
1011500, 'Bosques'
1011500, 'Minas'
1011600, 'Medicina'
1011600, 'Teología'
1011600, 'Leyes'
1011600, 'Pedagogía'
1020100, 'Las estrellas desaparecerían'
1020100, 'Los meses serían más largos'
1020100, 'La tierra estaría más caliente'
1020200, 'El nogal es fuerte'
1020200, 'Se corta fácilmente'
1020200, 'Sus frenos no son buenos'
1020300, 'Tiene más ruedas'
1020300, 'Es más pesado'
1020300, 'Sus frenos no son buenos'
1020400, 'Que los robles son débiles'
1020400, 'Que son mejores los golpes pequeños'
1020400, 'Que el esfuerzo constante logra resultados sorprendentes'
1020500, 'Que no debemos vigilarla cuando está en el fuego'
1020500, 'Que tarda en hervir'
1020500, 'Que el tiempo se alarga cuando esperamos algo'
1020600, 'Que el pasto se siembra en el verano'
1020600, 'Que debemos aprovechar nuestras oportunidades'
1020600, 'Que el pasto no debe cortarse en la noche'
1020700, 'Que un zapatero no debe abandonar sus zapatos'
1020700, 'Que los zapateros no deben estar ociosos'
1020700, 'Que debemos trabajar en lo que podamos hacer mejor'
1020800, 'Que el palo sirve para apretar'
1020800, 'Que las cuñas siempre son de madera'
1020800, 'Nos exigen más las personas que nos conocen'
1020900, 'La máquina lo hace flotar'
1020900, 'Porque tiene grandes espacios huecos'
1020900, 'Contiene algo de madera'
1021000, 'Las alas ofrecen una amplia superficie ligera'
1021000, 'Mantiene el aire fuera del cuerpo'
1021000, 'Disminuyen el peso'
1021100, 'Que las golondrinas regresan'
1021100, 'Que un simple dato no es suficiente'
1021100, 'Que los pájaros se agregan a nuestros placeres del verano'
1030100, 'Salado'
1030100, 'Dulce'
1030200, 'Alegrarse'
1030200, 'Regocijarse'
1030300, 'Mayor'
1030300, 'Menor'
1030400, 'Sentarse'
1030400, 'Pararse'
1030500, 'Desperdiciar'
1030500, 'Aprovechar'
1030600, 'Conceder'
1030600, 'Negar'
1030700, 'Tónico'
1030700, 'Estimulante'
1030800, 'Rebajar'
1030800, 'Denigrar'
1030900, 'Prohibir'
1030900, 'Permitir'
1031000, 'Osado'
1031000, 'Audaz'
1031100, 'Arrebatado'
1031100, 'Prudente'
1031200, 'Obtuso'
1031200, 'Agudo'
1031300, 'Inepto'
1031300, 'Experto'
1031400, 'Esquivar'
1031400, 'Huir'
1031500, 'Rebelarse'
1031500, 'Someterse'
1031600, 'Monotonía'
1031600, 'Variedad'
1031700, 'Confortar'
